Crop,Season,Rainfall,Temperature,Area,Production
Rice,Kharif,200,28,1500,4500
Rice,Kharif,180,27,1200,3400
Rice,Kharif,220,29,1800,5600
Rice,Kharif,190,26,1400,4100
Rice,Kharif,210,30,1600,4800
Rice,Rabi,150,24,1100,2800
Rice,Rabi,140,23,1000,2500
Rice,Summer,100,32,800,1800
Rice,Summer,110,33,900,2100
Wheat,Rabi,120,22,2000,5200
Wheat,Rabi,130,21,2200,5800
Wheat,Rabi,115,20,1900,4900
Wheat,Rabi,125,23,2100,5500
Wheat,Rabi,135,22,2300,6100
Wheat,Kharif,160,26,1500,3200
Wheat,Summer,80,30,1000,2000
Maize,Kharif,180,27,1200,3800
Maize,Kharif,170,28,1100,3500
Maize,Kharif,190,26,1300,4100
Maize,Rabi,130,22,1000,2900
Maize,Rabi,140,21,1100,3200
Maize,Summer,90,31,800,2200
Maize,Summer,95,32,850,2400
Cotton,Kharif,160,30,2500,6200
Cotton,Kharif,150,29,2300,5700
Cotton,Kharif,170,31,2700,6800
Cotton,Kharif,155,28,2400,5900
Cotton,Rabi,120,25,2000,4500
Cotton,Summer,100,33,1800,3800
Sugarcane,Kharif,220,29,3000,9500
Sugarcane,Kharif,210,28,2800,8800
Sugarcane,Kharif,230,30,3200,10200
Sugarcane,Rabi,180,25,2500,7200
Sugarcane,Rabi,170,24,2300,6600
Sugarcane,Summer,150,32,2000,5500
Soybean,Kharif,180,27,1400,4200
Soybean,Kharif,190,28,1500,4600
Soybean,Kharif,175,26,1350,4000
Soybean,Rabi,140,22,1100,3000
Soybean,Summer,100,30,900,2200
Groundnut,Kharif,160,28,1300,3900
Groundnut,Kharif,170,29,1400,4200
Groundnut,Kharif,155,27,1250,3700
Groundnut,Rabi,130,23,1100,3000
Groundnut,Summer,90,31,900,2300
Potato,Rabi,100,18,1500,5500
Potato,Rabi,110,17,1600,5900
Potato,Rabi,95,19,1400,5100
Potato,Kharif,130,22,1200,4200
Potato,Summer,80,25,1000,3400
Tomato,Rabi,90,20,800,3200
Tomato,Rabi,85,19,750,2900
Tomato,Kharif,120,25,900,3500
Tomato,Summer,70,28,600,2200
Onion,Rabi,80,18,700,2800
Onion,Rabi,85,17,750,3000
Onion,Kharif,110,24,850,3300
Onion,Summer,60,30,500,1800
Mustard,Rabi,60,15,1200,2400
Mustard,Rabi,65,16,1300,2700
Mustard,Rabi,55,14,1100,2100
Barley,Rabi,70,16,1000,2200
Barley,Rabi,75,17,1100,2500
Barley,Kharif,100,22,800,1700
Chickpea,Rabi,50,18,900,1800
Chickpea,Rabi,55,17,950,1950
Chickpea,Rabi,45,19,850,1650
Lentil,Rabi,55,16,700,1400
Lentil,Rabi,60,15,750,1550
Rice,Kharif,205,28,1550,4650
Rice,Kharif,195,27,1450,4350
Wheat,Rabi,128,22,2150,5650
Wheat,Rabi,132,21,2250,5950
Maize,Kharif,185,27,1250,3950
Cotton,Kharif,165,30,2600,6500
Sugarcane,Kharif,225,29,3100,9850
Soybean,Kharif,185,27,1450,4400
Groundnut,Kharif,163,28,1350,4050
Potato,Rabi,105,18,1550,5700
Rice,Kharif,215,29,1700,5200
Rice,Kharif,188,26,1350,4000
Wheat,Rabi,122,21,2050,5350
Maize,Kharif,178,28,1180,3700
Cotton,Kharif,158,29,2450,6050
Sugarcane,Kharif,218,28,2900,9150
Soybean,Kharif,182,26,1420,4300
Groundnut,Kharif,168,29,1380,4150
Potato,Rabi,98,19,1480,5350
Tomato,Rabi,88,20,780,3100
Onion,Rabi,82,18,720,2880
Mustard,Rabi,62,15,1250,2550
Barley,Rabi,72,16,1050,2350
Chickpea,Rabi,52,18,920,1870
Rice,Kharif,198,27,1420,4250
Rice,Rabi,145,24,1050,2650
Wheat,Rabi,127,22,2120,5575
Maize,Kharif,183,27,1220,3850
Maize,Rabi,135,22,1050,3050
Cotton,Kharif,162,30,2550,6350
Sugarcane,Kharif,215,29,2950,9325
Sugarcane,Rabi,175,25,2400,6900
